Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags
DNS_NAME,intercom-sheets.com,"3.93.29.232,44.194.155.104,18.211.64.223,52.73.162.54,34.237.148.4,52.0.66.133,52.2.170.208,54.156.160.250",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,domain,ns-record,resolved,soa-record"
DNS_NAME,files.gitbook.com,"172.64.146.167,2606:4700:4400::6812:2959,2606:4700:4400::ac40:92a7,104.18.41.89",httpx->excavate,1,"a-record,aaaa-record,affiliate,cdn-cloudflare,distance-1,resolved,subdomain"
DNS_NAME,intercom-attachments-2.com,"2600:9000:25ea:ba00:19:1477:f380:93a1,2600:9000:25ea:e400:19:1477:f380:93a1,108.157.194.46,2600:9000:25ea:4800:19:1477:f380:93a1,2600:9000:25ea:8800:19:1477:f380:93a1,2600:9000:25ea:9000:19:1477:f380:93a1,108.157.194.117,2600:9000:25ea:9c00:19:1477:f380:93a1,108.157.194.24,2600:9000:25ea:cc00:19:1477:f380:93a1,108.157.194.63,2600:9000:25ea:3e00:19:1477:f380:93a1",httpx->excavate,1,"a-record,aaaa-record,affiliate,cloud-amazon,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,uploads.intercomcdn.com,"108.138.199.104,108.138.199.55,108.138.199.8,108.138.199.19",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,resolved,subdomain"
DNS_NAME,gstatic.com,"2a00:1450:4002:809::2003,142.250.180.131",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,translate.google.com,"2a00:1450:4002:414::200e,142.251.209.46",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,resolved,subdomain"
DNS_NAME,cdn.iframe.ly,"108.139.243.37,108.139.243.55,108.139.243.82,108.139.243.38",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,resolved,subdomain"
DNS_NAME,unpkg.com,"104.16.124.175,2606:4700::6810:7baf,2606:4700::6810:7daf,2606:4700::6810:7aaf,2606:4700::6810:7eaf,104.16.125.175,104.16.122.175,2606:4700::6810:7caf,104.16.123.175,104.16.126.175",httpx->excavate,1,"a-record,aaaa-record,affiliate,cdn-cloudflare,distance-1,domain,resolved"
DNS_NAME,intercom-attachments-6.com,"108.157.194.46,2600:9000:25ea:c800:19:1477:f380:93a1,2600:9000:25ea:e600:19:1477:f380:93a1,108.157.194.24,108.157.194.117,2600:9000:25ea:4200:19:1477:f380:93a1,2600:9000:25ea:e200:19:1477:f380:93a1,2600:9000:25ea:2e00:19:1477:f380:93a1,2600:9000:25ea:5c00:19:1477:f380:93a1,2600:9000:25ea:a00:19:1477:f380:93a1,2600:9000:25ea:6600:19:1477:f380:93a1,108.157.194.63",httpx->excavate,1,"a-record,aaaa-record,affiliate,cloud-amazon,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,intercomusercontent.com,,httpx->excavate,1,"affiliate,distance-1,domain,ns-record,resolved,soa-record"
DNS_NAME,intercom-mail.com,"108.157.194.117,108.157.194.24,108.157.194.63,108.157.194.46",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,domain,mx-record,ns-record,resolved,soa-record,txt-error"
DNS_NAME,intercom-attachments-7.com,"2600:9000:25ea:8000:19:1477:f380:93a1,2600:9000:25ea:1e00:19:1477:f380:93a1,2600:9000:25ea:b200:19:1477:f380:93a1,108.157.194.46,2600:9000:25ea:f800:19:1477:f380:93a1,108.157.194.24,2600:9000:25ea:9800:19:1477:f380:93a1,108.157.194.117,2600:9000:25ea:4a00:19:1477:f380:93a1,2600:9000:25ea:a00:19:1477:f380:93a1,2600:9000:25ea:7200:19:1477:f380:93a1,108.157.194.63",httpx->excavate,1,"a-record,aaaa-record,affiliate,cloud-amazon,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,cdn.polyfill.io,"151.101.241.26,2a04:4e42:39::282",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,resolved,subdomain"
DNS_NAME,browser.sentry-cdn.com,"151.101.130.217,151.101.194.217,151.101.2.217,2a04:4e42:400::729,2a04:4e42:600::729,2a04:4e42::729,151.101.66.217,2a04:4e42:200::729",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,resolved,subdomain"
DNS_NAME,uploads.intercomusercontent.com,"99.86.159.80,99.86.159.96,99.86.159.123,99.86.159.90",httpx->excavate,1,"a-record,affiliate,cloud-amazon,distance-1,resolved,subdomain"
DNS_NAME,api.gitbook.com,"172.64.146.167,2606:4700:4400::6812:2959,2606:4700:4400::ac40:92a7,104.18.41.89",httpx->excavate,1,"a-record,aaaa-record,affiliate,cdn-cloudflare,distance-1,resolved,subdomain"
DNS_NAME,ssl.google-analytics.com,"216.58.209.40,2a00:1450:4002:414::2008",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,resolved,subdomain"
DNS_NAME,www.google.com,"2a00:1450:4002:411::2004,216.58.204.228",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,resolved,subdomain"
DNS_NAME,translate.googleapis.com,"2a00:1450:4002:411::200a,216.58.204.234",httpx->excavate,1,"a-record,aaaa-record,affiliate,cloud-google,distance-1,resolved,subdomain"
DNS_NAME,sentry.io,35.186.247.156,httpx->excavate,1,"a-record,affiliate,cloud-google,distance-1,domain,resolved"
DNS_NAME,cdn.jsdelivr.net,"2a04:4e42:39::485,151.101.241.229",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,resolved,subdomain"
DNS_NAME,intercom-attachments-9.com,"2600:9000:25ea:6a00:19:1477:f380:93a1,108.157.194.46,2600:9000:25ea:8000:19:1477:f380:93a1,2600:9000:25ea:7600:19:1477:f380:93a1,2600:9000:25ea:3c00:19:1477:f380:93a1,2600:9000:25ea:c200:19:1477:f380:93a1,108.157.194.117,2600:9000:25ea:5600:19:1477:f380:93a1,2600:9000:25ea:6e00:19:1477:f380:93a1,108.157.194.24,2600:9000:25ea:cc00:19:1477:f380:93a1,108.157.194.63",httpx->excavate,1,"a-record,aaaa-record,affiliate,cloud-amazon,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,touch.trickest.io,"3.75.48.100,35.158.162.39,3.125.5.102",massdns,0,"a-record,cloud-amazon,in-scope,resolved,subdomain"
