Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags
OPEN_TCP_PORT,api.staging.trickest.io:443,"3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2022-31629'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
TECHNOLOGY,"{'host': 'api.staging.trickest.io', 'technology': 'cpe:/a:php:php:7.3.28'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2023-44487'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
TECHNOLOGY,"{'host': 'api.staging.trickest.io', 'technology': 'cpe:/a:f5:nginx:1.14.2'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2021-21707'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
OPEN_TCP_PORT,api.staging.trickest.io:80,"3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2019-9516'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2019-9511'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2021-3618'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2022-31628'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2021-21704'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2022-37454'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2021-23017'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
FINDING,"{'host': 'api.staging.trickest.io', 'description': 'Shodan reported verified vulnerability: CVE-2021-21703'}","3.125.21.26,18.196.62.79,52.28.175.6",internetdb,0,"cloud-amazon,in-scope,mutation-1"
URL,https://api.staging.trickest.io/,3.125.21.26,httpx,0,"cloud-amazon,dir,in-scope,ip-3-125-21-26,mutation-1,status-404"
ASN,"{'asn': '16509', 'subnet': '18.196.0.0/15', 'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US'}",,asn,2,distance-2
ASN,"{'asn': '16509', 'subnet': '52.28.0.0/16', 'name': 'AMAZON-02', 'description': 'Amazon.com, Inc.', 'country': 'US'}",,asn,2,distance-2
URL,http://api.staging.trickest.io/,3.125.21.26,httpx,0,"cloud-amazon,dir,http-title-301-moved-permanently,in-scope,ip-3-125-21-26,mutation-1,status-301"
